SWITCH_CL,DIM,NAME,CLAVRX_NAME,DTYPE,SCALED,ACT_RANGE1,ACT_RANGE2,VAL_RANGE1,VAL_RANGE2,FILL,ADD_OFFS,STANDARD_NAME,UNITS,LONG_NAME,FLAG_VALUES
1,2,"dcomp_info","dcomp_info_flag",2,0,0.00000,0.00000,0,0,0,0.00000,"not specified","none","processing flags for DCOMP 1:info flag set ? (0=no,1=yes) 2:land/sea mask (0=land,1=sea) 3:day/night mask (0=Day,1=Night) 4:twilight (65-82 solar zenith) (0=no,1=yes) 5:snow (0=no,1= snow) 6:sea-ice (0=no,1=sea-ice) 7:phase (0=liquid,1=ice) 8:thick_cloud (0=no,1=yes) 9:thin_cloud (0=no,1=yes)","   0"
1,2,"insolation_dcomp","Insolation_Dcomp",2,1,0.00000,1500.00,1,255,0,750.000,"surface_downwelling_shortwave_flux_dcomp","W m-2","surface downwelling shortwave flux computed from the DCOMP cloud properties","   1"
1,2,"insolation_diffuse_dcomp","Insolation_Dcomp_Diffuse",2,1,0.00000,1500.00,1,255,0,750.000,"surface_downwelling_shortwave_flux_diffuse_dcomp","W m-2","diffuse component of the surface downwelling shortwave flux computed from the DCOMP cloud properties","none"
1,2,"cdnc_dcomp","NOT_SET_YET",2,1,0.00000,1000.00,1,255,0,500.000,"cloud_droplet_number_concentration","cm-3","cloud_droplet_number_concentration from DCOMP algorithm","none"
1,2,"hcld_dcomp","NOT_SET_YET",2,1,0.00000,4000.00,1,255,0,2000.00,"geometrical_thickness_of_liquid_clouds","m","geometrical_thickness_of_liquid_clouds based on DCOMP","none"
1,2,"cld_opd_nlcomp","Tau_Nlcomp",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","cloud optical depth at the nominal wavelength of 0.65 microns, determined from NLCOMP","none"
1,2,"cld_reff_nlcomp","Reff_Nlcomp",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_particle","micron","effective radius of cloud particles determined from NLCOMP; see attributes for channels used","none"
1,2,"cld_opd_nlcomp_unc","Tau_Nlcomp_Cost",2,1,-0.200000,160.000,1,255,0,79.9000,"atmosphere_optical_thickness_due_to_cloud","none","uncertainty in cloud optical depth at the nominal wavelength of 0.65 microns, determined from NLCOMP","none"
1,2,"cld_reff_nlcomp_unc","Reff_Nlcomp_Cost",2,1,0.00000,160.000,1,255,0,80.0000,"effective_radius_of_cloud_particle","micron","effective radius of cloud particle determined from NLCOMP; see attributes for channels used","none"
1,2,"nlcomp_quality","Nlcomp_quality_flag",1,0,0.00000,0.00000,0,0,0,0.00000,"nlcomp_quality","none","quality flags for NLCOMP products  see documentation http://cimss.ssec.wisc.edu/clavr/ 1:Processed (0=no,1=yes) 2:valid COD retrieval (0=yes,1=no) 3:valid REF retrieval (0=yes,1=no) 4:degraded COD retrieval (0=no,1=degraded) 5:degraded REF retrieval (0=no,1=degraded) 6:convergency (0=no,1=yes) 7:glint (0=no,1=yes)","none"
1,2,"nlcomp_info","Nlcomp_Info_Flag",2,0,0.00000,0.00000,0,0,0,0.00000,"nlcomp_info","none","processing flags for NLCOMP see http://cimss.ssec.wisc.edu/clavr/ 1: info flag set ? (0=no,1=yes) 2: land/sea mask (0=land,1=sea) 3: day/night mask (0=Day,1=Night) 4: twilight (65-82 solar zenith) (0=no,1=yes) 5: snow (0=no,1= snow) 6: sea-ice (0=no,1=sea-ice) 7: phase (0=liquid,1=ice) 8: thick_cloud (0=no,1=yes) 9: thin_cloud (0=no,1=yes)","none"
1,2,"cloud_albedo_0_65um_nom","cloud_063um_albedo",1,1,0.00000,1.00000,129,127,128,0.500000,"cloud_albedo","none","cloud albedo at 0.65 microns nominal from DCOMP","none"
1,2,"cloud_transmission_0_65um_nom","cloud_063um_transmission_solar",1,1,0.00000,1.00000,129,127,128,0.500000,"not specified","none","cloud transmission 0.65 microns nominal from DCOMP","none"
1,2,"cloud_fraction","Cloud_Fraction",1,1,0.00000,1.00000,129,127,128,0.500000,"cloud_area_fraction","none","cloud fraction computed over a 3x3 pixel array at the native resolution centered on this pixel","none"
1,2,"cloud_water_path_nwp","Cwp_Nwp_Pix",2,1,0.00000,1200.00,1,255,0,600.000,"cloud_water_path","g m-2","cloud water path computed from NWP ancillary data sources","none"
1,2,"cloud_water_path","Cwp_Dcomp",1,1,0.00000,1200.00,129,127,128,600.000,"not specified","g m-2","integrated total cloud water over whole column","none"
1,2,"rain_rate","Rain_Rate_Dcomp",1,1,0.00000,32.0000,129,127,128,16.0000,"rain_rate","mm h-1","derived rain rate","none"
